Keyword;Search Volume;CPC;Competition;Number of Results;Trends
vintage copper pendant light;20;0.86;1;0;0.18,0.45,0.18,0.18,0.18,0.18,0.27,0.27,0.18,0.18,0.18,0.18
vintage crystal table lamp;10;0.17;1;0;0.00,0.00,0.00,0.00,0.33,0.00,0.33,0.33,0.00,0.33,0.00,0.66
vintage drum lampshade;0;0;1;0;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.00
vintage edison bulb;140;0.32;1;198;0.42,0.66,0.42,0.42,0.52,0.52,0.80,0.80,0.52,0.66,0.80,0.66
vintage edison light bulb;20;0.38;1;0;0.42,1.00,0.28,0.00,0.28,0.28,0.14,0.28,0.28,0.14,0.14,0.14
vintage electric cable;20;0.32;1;0;0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
vintage farmhouse lamp;10;0;1;0;0.00,0.00,0.00,0.00,0.28,0.28,0.28,0.28,0.28,0.00,0.00,0.28
vintage farmhouse pendant light;10;0;0.8;0;0.33,1.00,0.00,0.00,0.33,0.66,0.66,0.00,0.66,0.66,0.00,0.66
vintage flush ceiling light;30;0.36;1;0;0.00,0.14,0.28,0.42,0.57,0.57,0.71,0.71,0.71,0.71,0.57,0.42
vintage glass lampshade;140;0.13;1;197;0.34,0.15,0.42,0.80,0.65,0.53,0.53,0.65,0.53,0.65,1.00,0.53
vintage globe bulb;20;0;1;0;0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
vintage hanging ceiling light;20;0;0.99;0;1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00
vintage industrial ceiling rose;0;0;0;0;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
vintage industrial hanging light;20;0.64;1;0;0.27,0.09,0.45,0.18,0.18,0.00,0.00,0.18,0.18,0.18,0.18,0.00
vintage lamp holder;20;0.3;1;0;0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
vintage lamp shade;590;0.24;1;199;0.20,0.36,0.30,0.30,0.55,0.30,0.45,0.67,0.76,0.45,1.00,0.45
vintage light bulb;320;0.55;1;194;0.16,0.16,0.10,0.45,0.13,0.16,0.16,0.13,0.20,0.16,0.45,0.05
vintage metal ceiling rose;0;0;0;0;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
vintage metal lamp;0;0;1;0;0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00
vintage metal wall light;0;0;1;0;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
vintage pendant ceiling light;0;0.45;1;0;0.00,0.00,0.00,0.00,0.00,0.66,0.33,0.33,0.00,0.00,0.33,0.00
vintage pendant lamp holder;20;0;1;0;0.18,0.18,0.18,0.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
vintage pipe wall light;0;0;0;0;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
vintage rattan lampshade;20;0;1;0;0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
vintage retro ceiling light;20;0;1;0;0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
vintage sconce wall light;20;0.37;1;0;0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
vintage style bulb;0;0.33;1;0;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
vintage style ceiling light;20;0.33;1;0;0.36,0.36,0.00,0.00,0.00,0.18,0.09,0.18,0.18,0.18,1.00,0.09
vintage style lampshade;30;0.23;1;0;0.14,0.00,0.00,0.00,0.14,0.00,1.00,0.14,0.07,0.21,0.64,0.07
vintage style pendant light;20;0.53;1;0;0.01,0.02,0.02,0.00,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02
vintage style wall light;20;0.35;1;0;0.20,0.20,0.20,0.00,0.60,0.40,0.40,0.40,0.20,0.60,0.20,0.20
vintage white chandelier;20;0.33;1;0;0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
vintage wood pendant light;10;0;0.99;0;0.00,0.00,0.00,0.09,0.09,0.09,0.09,0.09,0.00,0.09,0.09,0.09
vintage wooden table lamp;10;0.26;1;0;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.50
wall and ceiling light;10;0.36;1;0;0.00,0.09,0.00,0.09,0.00,0.18,0.09,0.09,0.00,0.09,0.00,0.09
wall ceiling spotlight;10;0;1;0;0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00
wall clock for home;210;0.23;1;149;0.66,0.35,0.28,0.54,0.44,0.35,0.23,0.28,0.44,1.00,0.54,0.35
wall clock for kids;10;0;0;0;0.00,0.20,0.00,0.60,0.20,0.20,0.20,0.00,0.00,0.00,0.20,0.40
wall clocks vintage style;10;0.25;1;0;0.00,0.00,0.00,0.07,0.07,0.00,0.00,0.00,0.00,0.00,1.00,0.07
wall down light;90;0.56;1;181;0.21,0.21,0.15,0.21,1.00,0.34,0.28,0.28,0.12,0.15,0.03,0.03
