Keyword;Search Volume;CPC;Competition;Number of Results;Trends
flush mount lamp;170;0.48;1;197;0.53,0.53,0.34,0.26,0.53,0.80,0.65,0.80,0.80,0.80,0.80,1.00
flush mount light;210;0.48;1;192;0.53,0.34,0.43,0.34,0.65,0.81,0.65,0.65,0.53,1.00,0.81,1.00
flush mount lighting;210;0.48;1;197;0.04,0.21,0.14,0.17,0.32,0.11,0.14,0.32,0.26,0.26,0.26,0.17
flush mounted ceiling light;20;0.51;1;0;0.14,0.00,0.07,0.00,0.35,0.14,0.21,0.21,0.07,0.07,0.14,0.07
french gold pendant light;0;0;0;0;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
glass bedside table lamp;30;0.35;1;0;0.21,0.28,0.00,0.21,0.21,0.07,0.14,0.35,0.14,0.64,0.14,0.35
glass ceiling pendant light;110;0.41;1;193;0.10,0.35,0.08,0.14,0.14,0.22,0.29,0.29,0.35,0.29,0.43,0.29
glass cluster pendant light;110;0.52;1;177;0.15,0.15,0.15,0.15,0.18,0.18,0.23,0.18,0.15,0.15,0.18,0.11
glass cylinder lamp;20;0;1;0;0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
glass flower;720;0.3;1;200;0.10,0.24,0.36,0.16,0.41,0.24,0.79,0.54,0.16,0.13,0.16,0.54
glass globe lampshade;210;0.26;1;189;0.43,0.43,0.35,0.43,0.53,0.66,0.66,0.66,0.53,0.66,0.53,0.66
glass globe table lamp;50;0.27;1;0;0.19,0.23,0.09,0.14,0.14,0.09,0.19,0.19,0.09,0.66,0.09,0.66
glass lamp shade;880;0.27;1;198;0.13,0.16,0.16,0.16,0.20,0.20,0.22,0.22,0.20,0.20,0.16,0.16
glass lantern pendant light;50;0.53;1;0;0.15,0.19,0.15,0.19,0.15,0.15,0.42,0.19,0.11,0.19,0.19,0.11
glass light shade;1300;0.28;1;230000000;0.79,0.41,0.30,0.30,0.79,0.54,0.54,0.41,0.24,0.41,0.79,0.36
glass mosaic lamp;10;0.25;1;0;0.00,0.00,0.00,0.09,0.00,0.18,0.09,0.18,0.27,0.18,0.00,0.00
glass mosaic table lamp;0;0;1;0;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
glass pendant ceiling light;480;0.41;1;196;0.24,0.20,0.16,0.30,0.45,0.30,0.36,0.55,0.36,0.45,0.45,0.36
glass pendant lighting;390;0.46;1;198;0.07,0.31,0.05,0.20,0.16,0.20,0.25,0.16,0.08,0.37,0.08,0.37
glass shade wall light;20;0.25;1;0;1.00,0.44,0.11,0.11,0.11,0.11,0.33,0.11,0.11,0.22,0.11,0.00
globe lamp;1300;0.34;1;127;0.24,0.24,0.24,0.30,0.41,0.54,0.66,1.00,0.79,0.79,0.54,0.41
globe light bulb;140;0.27;1;198;0.00,0.12,0.21,0.43,0.53,0.65,0.81,0.81,0.81,1.00,1.00,0.34
globe pendant lampshade;0;0;0;0;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
gls bulb;1600;0.35;1;164;0.34,0.34,0.34,0.44,0.55,0.65,0.65,0.82,0.82,0.82,0.65,0.65
gls light bulb;320;0.25;0.99;166;0.29,0.29,0.29,0.36,0.54,0.66,0.44,0.81,0.66,0.81,0.54,0.54
gls lighting;140;0.5;0.46;108;0.28,0.28,0.35,0.82,0.53,0.43,0.43,0.23,0.17,0.35,0.35,0.23
