Keyword;Search Volume;CPC;Competition;Number of Results;Trends
bathroom vanity light;170;0.7;1;83500000;0.18,0.66,0.22,0.29,1.00,0.29,0.18,0.35,0.22,0.43,0.18,0.14
battery operated bedside clock;30;0.16;1;0;0.07,0.07,0.07,0.07,0.07,0.07,0.42,0.07,0.07,0.07,0.07,0.07
bedside reading light;720;0.67;1;187;0.08,0.11,0.34,0.16,0.16,0.16,0.65,0.20,0.20,0.65,0.34,0.34
bedside table lamp;2900;0.33;1;192;0.23,0.35,0.23,0.35,0.44,0.29,0.44,0.44,0.35,0.44,0.35,0.29
bell lamp shade;40;0.22;1;0;0.77,0.77,0.33,0.11,0.44,0.44,0.44,0.44,0.44,0.55,0.44,0.33
bell light shade;50;0.27;1;0;0.35,0.35,0.14,0.14,0.14,0.14,0.78,1.00,0.14,1.00,0.14,0.14
best ceiling light;40;0.31;1;0;0.22,0.22,0.22,0.22,0.22,0.33,0.55,0.55,0.77,1.00,0.77,0.55
best rattan ceiling light;0;0;0;0;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
bird nest chandelier;0;0;1;0;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00
black arm wall light;20;0;1;0;0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
black bakelite lamp holder;0;0;0;0;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
black ceiling pendant light;260;0.46;1;171;0.35,0.28,0.66,0.35,0.54,0.66,0.66,1.00,0.44,0.44,0.44,0.44
black ceiling rose;1000;0.31;1;179;0.46,0.46,0.46,0.52,0.68,0.52,0.68,0.68,0.46,0.68,0.52,0.52
black colour cable;20;0;0.67;0;0.50,0.50,1.00,0.50,0.50,0.00,0.00,0.50,0.00,0.50,0.50,0.50
black compostable mailing bags;10;0;0;0;0.14,0.00,0.00,0.00,0.14,0.00,0.00,0.14,0.00,0.14,0.14,0.14
black conduit lighting;20;0;1;0;0.14,0.14,0.14,0.21,0.21,0.21,0.21,0.21,0.14,0.14,0.14,0.14
black cone wall light;20;0;1;0;0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
black contemporary ceiling light;50;0.38;1;0;1.00,0.00,0.03,0.15,0.15,0.15,0.11,0.15,0.11,0.11,0.11,0.11
black double plug sockets;170;0.29;1;196;0.66,0.80,0.52,0.80,0.66,0.80,0.80,1.00,0.66,1.00,1.00,1.00
black drop pendant light;20;0.48;1;0;0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
black glass shade;10;0.26;1;0;0.00,0.18,0.00,0.18,0.00,0.00,0.00,0.18,0.18,0.18,0.18,0.18
black gold pendant light;140;0.53;1;90500000;0.34,0.34,0.34,0.21,0.34,0.28,0.34,0.43,0.28,0.34,0.34,0.34
black lamp holder;90;0.32;1;163;0.52,0.42,0.42,0.42,0.42,0.52,0.52,0.42,0.52,0.52,0.33,0.52
black light;5400;0.33;0.77;195;0.19,0.19,0.19,0.13,0.29,0.19,0.29,0.19,0.19,0.29,0.19,0.24
black light bulb;260;0.3;1;287000000;0.35,0.54,0.18,0.54,1.00,0.81,0.35,0.81,0.28,0.35,0.54,0.35
black light bulb holder;20;0;1;0;0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
black metal ceiling light;260;0.39;1;170;0.35,0.35,0.43,0.43,0.43,0.66,0.54,0.66,0.43,0.66,0.54,0.43
black metal ceiling rose;20;0.36;1;0;0.50,0.50,0.50,0.50,0.50,0.75,1.00,0.50,0.50,0.50,0.50,0.50
black metal chandelier;110;0.44;1;169;0.34,0.42,0.15,0.26,0.42,0.34,0.34,0.65,0.34,0.53,0.26,0.34
black metal lamp holder;20;0;1;0;0.66,0.00,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66
black metal lampshade;140;0.34;1;15400000;0.19,0.15,0.15,0.19,0.36,0.23,0.23,0.29,0.19,0.81,0.23,0.29
black pendant cable;20;0.53;1;0;0.00,0.22,0.22,0.22,0.11,0.22,0.22,0.22,0.00,0.22,0.22,0.22
black pendant lamp holder;20;0.46;1;0;0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
black plastic lamp holder;20;0;1;0;0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
black single pendant light;30;0.5;1;0;0.02,0.02,0.02,0.03,0.02,0.02,0.11,0.04,0.02,0.03,0.02,0.02
black square ceiling rose;0;0;0;0;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
black vintage pendant light;20;0.43;1;0;0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66
blue ceiling light;590;0.42;1;170;0.54,0.54,0.44,0.67,0.67,0.81,0.67,0.67,0.67,1.00,0.81,0.67
blue colour ceiling light;20;0;0;0;0.22,1.00,0.00,0.00,0.00,0.22,0.22,0.22,0.22,0.22,0.22,0.00
blue industrial pendant light;20;0;1;0;0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
blue lamp shade;1300;0.26;1;175;0.34,0.34,0.34,0.44,0.55,0.55,0.55,0.55,0.44,0.65,0.44,0.44
blue metal pendant light;20;0;1;0;0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
