Keyword;Search Volume;CPC;Competition;Number of Results;Trends
blue pendant shade;20;0;1;0;0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66
blue pendent light;0;0.47;1;0;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
body weight digital scale;10;0.28;1;0;0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00
bottle light bulb holder;0;0;0;0;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
bracket for chandelier;0;0.34;1;0;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66,0.00,0.66,0.00
braided electrical cable;140;0.4;0.89;201;1.00,0.80,0.52,0.66,0.80,0.80,0.80,0.52,0.33,0.42,0.66,0.52
brass bulb holder;90;0.27;1;0;0.42,0.42,0.19,0.33,0.52,0.42,0.66,0.66,0.52,0.52,0.52,0.33
brass ceiling lamp;210;0.42;1;169;0.08,0.02,0.10,0.03,0.03,0.02,0.03,0.03,0.03,0.01,0.03,0.01
brass ceiling pendant light;40;0.54;1;0;0.17,0.17,0.23,0.23,0.11,0.23,0.23,0.23,0.23,0.11,1.00,0.23
brass cone pendant light;20;0.95;1;0;0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
brass lamp holder;480;0.38;1;191;0.54,0.36,0.44,0.66,0.81,0.81,0.66,0.81,0.66,0.66,0.66,0.66
brass metal pendant light;880;0.52;1;177;0.16,0.03,0.13,0.04,0.68,0.05,0.05,0.68,0.84,0.84,0.68,0.84
brass pendant bulb holder;0;0;0;0;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
brass pendant lamp;20;0.62;1;0;0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.57,0.57
brass pendant lamp holder;20;0.23;0.96;0;0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
brass wall spotlight;30;0.77;1;0;0.06,0.06,0.12,0.06,0.06,0.09,0.15,0.09,0.06,0.06,0.06,0.06
bronze metal chandelier;170;0.55;1;170;0.00,0.00,0.43,0.00,0.29,0.81,1.00,0.81,0.66,0.66,0.66,0.66
brown colour cable;20;0;0.74;0;0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66
brushed copper ceiling light;50;0.33;1;0;0.21,0.50,0.21,0.14,0.28,0.21,0.50,0.78,0.35,0.50,0.50,0.50
brushed copper lampshade;20;0.23;1;0;0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
brushed copper light;20;0.68;1;0;0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
brushed copper pendant light;30;0.39;1;0;0.14,0.14,0.21,0.35,0.14,0.21,0.21,0.21,0.21,0.35,0.14,0.21
brushed gold light;30;0.54;1;0;0.18,0.18,0.18,0.27,0.36,0.18,0.27,0.63,0.18,0.63,0.18,0.18
brushed silver pendant light;20;0.54;1;0;0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
brushed steel ceiling light;140;0.33;1;160;0.42,0.53,0.53,0.53,0.53,0.80,0.80,0.42,0.42,0.42,0.53,0.65
bsp pipe light;0;0;0;0;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
bulb energy saving;90;0.66;1;0;0.00,0.21,0.03,0.21,0.15,1.00,0.53,0.06,0.21,0.15,0.21,0.12
bulb ceiling light;90;0.32;1;51100000;0.00,0.41,0.41,1.00,0.64,0.64,0.52,0.82,0.64,0.82,0.64,0.52
bulb holder;1300;0.24;1;198;0.46,0.31,0.52,0.68,0.68,0.68,0.84,0.84,0.84,0.84,0.68,0.52
bulb lamp holder;20;0.21;0.97;0;0.40,0.40,0.40,0.40,0.40,0.20,0.40,0.40,0.40,0.40,0.40,0.00
bulb light;480;0.42;1;202;0.24,0.20,0.20,0.24,0.10,0.20,0.24,0.30,0.20,0.30,1.00,0.20
