product_id,handle,title,status,vendor,collections,variant_ids,skus
4417253867616,dc12v-24w-ip20-universal-regulated-switching-led-transformer,12V DC Power Supply 24W Driver Regulated ~ 3372,ACTIVE,LEDSone,recommended-products-seguno|constant-voltage-transformer|dc-12v-transformer|led-transformers|new-arrivals|new-collection|sale|catalog_transformers|capture-15-offer-if-you-order-more-than-50-quantity|globofilter-best-selling-products-index|all-products|transformers|avada-email-marketing-best-sellers|top-deals|dc-12v-driver|best-offers-products|all-transformers|all_products|power-supply|ip-20-transformers|under-25|all-products-1|best-deals|glow-mode-on-1|modern-classic-home|led-driver-transformer|top-products|for-shopify-performance-tracking|summer-bank-holiday|premium-lighting|ip20-led-power-supplies|ip20-led-power-supplies-1|best-sellers|industrial-lighting|energy-efficient-lighting-collection-modern|led-drivers-led-modules,31497523036256,12IP2024
4417253900384,dc24v-ip67-36w-waterproof-led-driver-power-supply-transformer,Power Supply Transformer DC24V IP67 36W ~3371,ACTIVE,LEDSone,recommended-products-seguno|constant-voltage-transformer|dc-24v-transformer|led-transformers|new-arrivals|new-collection|waterproof-transformers|catalog_transformers|capture-15-offer-if-you-order-more-than-50-quantity|globofilter-best-selling-products-index|all-products|transformers|avada-email-marketing-best-sellers|top-selling-transformers|all-transformers|best-products-24-s|bselltm|all_products|bsell-06|power-supply|under-25|all-products-1|modern-shine-lighting|modern-radiant-lighting|top-products|for-shopify-performance-tracking|ip67-waterproof-led-drivers|industrial-lighting-collection|industrial-lighting|led-drivers-led-modules,31497523134560,24IP6736
4417254064224,multi-colours-2m-plug-in-pendant-set-flex-cable-with-holder-3370,Multi Colours 2m Plug In Pendant Set Flex Cable With Holder ~3370,ACTIVE,LEDSone,all-products-1|modern-shine-lighting|hot-picks|modern-home-lights|shining-radiance|for-shopify-performance-tracking,45185502576890|45185502609658|45185502642426|45185502675194|45185572536570|45185572569338|45185572602106|45185572634874|45186143125754|45186150072570|45185502478586|45185502511354|45185502544122,PSOS2BMRGR|PSOS2BMRRO|PSOS2BMRBK|PSOS2BMRBU|PSOS2BMRGD|PSOS2BMRPU|PSOS2BMRCR|PSOS2BMRBL|PSOS2BMRBW|PSOS2BMRBM|PSOS2BMRGY|PSOS2BMRRE|PSOS2BMRBR
4417254162528,3-core-twisted-peach-vintage-electric-fabric-cable-flex-0-75mm,1M/5M/10M 3 Core Twisted Peach Vintage Electric fabric Cable Flex 0.75mm~3369,ACTIVE,LEDSone UK Ltd,recommended-products-seguno|3core-twisted|vintage-cables|new-arrivals|new-collection|sale|catalog_others|free-shipping|capture-15-offer-if-you-order-more-than-50-quantity|vintage-cables-off|globofilter-best-selling-products-index|all-products|vintage-fabric-cables|avada-email-marketing-best-sellers|best-offers-products|cable-promo-collections|all_products|under-25|all-products-1|best-deals|glow-mode-on-1|shop-lighting|top-products|for-shopify-performance-tracking|summer-bank-holiday|premium-lighting|best-sellers|electric-cable|industrial-lighting|premium-lighting-products,54978379907458|54978379940226|54978379972994,CL3TPE|CL3TPE5PK|CL3TPEAPK
4417254293600,chrome-hook-ring-vintage-iron-ceiling-hook-for-pendants-fixtures-chandelier-hanging-light-holder,Black Shade Ring Iron Ceiling Pendants Fixtures Holder ~3366,ACTIVE,LEDSone,recommended-products-seguno|new-arrivals|new-collection|sale|catalog_others|capture-15-offer-if-you-order-more-than-50-quantity|shade-ring|accessories|globofilter-best-selling-products-index|lamp-spare-parts-sales|all-products|avada-email-marketing-best-sellers|small-lighting-parts|best-offers-products|all_products|under-25|all-products-1|top-products|for-shopify-performance-tracking|lighting-products,31497523527776,SCRN70BM
4417254424672,black-inexpensive-ceiling-light,Cheap Black Pendant Lights ~3365,ACTIVE,LEDSone UK Ltd,all-products-1|pendant-lightss|best-deals|modern-home-lights|modern-energy-efficient-pendant-ceiling-wall-lighting-uk|for-shopify-performance-tracking,31497523658848,CRSF100BM+PHHT1PBRGD+SCRN70BM+LSTF40BM
4417254588512,industrial-ip67-waterproof-led-driver-12v-10w-aluminium,Industrial IP67 Waterproof LED Driver 12V 10W Aluminium~3364,ACTIVE,LEDSone,recommended-products-seguno|constant-voltage-transformer|dc-12v-transformer|led-transformers|new-arrivals|new-collection|waterproof-transformers|sale|catalog_transformers|capture-15-offer-if-you-order-more-than-50-quantity|globofilter-best-selling-products-index|all-products|transformers|avada-email-marketing-best-sellers|top-deals|dc-12v-driver|best-offers-products|all-transformers|led-modules-transformers|all_products|bsell-06|power-supply|under-25|all-products-1|top-products|for-shopify-performance-tracking|ip67-waterproof-led-drivers|lighting-accessories|led-drivers-led-modules,31497523822688,12IP6710
4417254686816,waterproof-dc12v-ip67-15w-led-driver-power-supply-transformer,IP67 Waterproof DC 12V 15W LED Driver LED Power Supply Transformer ~3363,ACTIVE,LEDSone,recommended-products-seguno|dc-12v-transformer|led-transformers|new-arrivals|new-collection|waterproof-transformers|sale|catalog_transformers|capture-15-offer-if-you-order-more-than-50-quantity|globofilter-best-selling-products-index|all-products|transformers|avada-email-marketing-best-sellers|top-deals|dc-12v-driver|best-offers-products|all-transformers|led-modules-transformers|all_products|bsell-06|power-supply|under-25|all-products-1|top-picks|best-deals|value-light|hot-picks|modern-home-lights|radiant-illumination|ninc-products|top-products|lights-parts|power-converter|for-shopify-performance-tracking|summer-bank-holiday|ip67-waterproof-led-drivers|led-drivers-led-modules,31497523953760,12IP6715
4417254785120,waterproof-dc12v-ip67-20w-led-driver-power-supply-transformer,Industrial 12V 20W IP67 Waterproof Slim LED Driver Transformer~ 3362,ACTIVE,LEDSone,recommended-products-seguno|dc-12v-transformer|led-transformers|new-arrivals|new-collection|waterproof-transformers|sale|catalog_transformers|capture-15-offer-if-you-order-more-than-50-quantity|globofilter-best-selling-products-index|all-products|transformers|avada-email-marketing-best-sellers|top-deals|dc-12v-driver|top-sell-2021|best-offers-products|all-transformers|bselltm|led-modules-transformers|all_products|bsell-06|power-supply|under-25|all-products-1|transformers-led-bulbs-collection|top-products|for-shopify-performance-tracking|summer-bank-holiday|ip67-waterproof-led-drivers|industrial-vintage-lighting|led-drivers-led-modules,31497524019296,12IP6720
4417254850656,waterproof-dc12v-ip67-30w-led-driver-power-supply-transformer,IP67 Waterproof DC 12V 30W LED Driver LED Power Supply Transformer ~3361,ACTIVE,LEDSone,recommended-products-seguno|dc-12v-transformer|led-transformers|new-arrivals|new-collection|waterproof-transformers|sale|catalog_transformers|capture-15-offer-if-you-order-more-than-50-quantity|globofilter-best-selling-products-index|all-products|transformers|avada-email-marketing-best-sellers|top-deals|dc-12v-driver|top-sell-2021|50-orders|best-offers-products|all-transformers|best-products-24-s|top-trending-this-week|led-modules-transformers|all_products|bsell-06|power-supply|under-25|all-products-1|most-popular-trending-products|best-deals|glow-mode-on-1|modern-classic-home|top-products|for-shopify-performance-tracking|premium-lighting|ip67-waterproof-led-drivers|best-sellers|top-sellers-best-industrial-lighting|industrial-lighting|energy-efficient-lighting-collection-modern|led-drivers-led-modules,31497524117600,12IP6730
