path,organic_sessions_12m,landing_page_variants_matched
/collections/wall-light,237,16
/pages/summer-sale-2023,0,0
/products/discontinued-lamp-x,0,0
/pages/old-landing-black-friday,0,0
/products/spider-light-v1-old,0,0
