staff_name,department,store,shopify_product_id,shopify_product_gid,product_title,product_handle,product_url,product_status,variant_count,variant_ids,variant_gids,skus,collection_count,collection_ids,collection_handles,collection_titles,collection_urls,ownership_method,primary_source,source_updated_at,extracted_at,included_in_current_sales_scope,exclusion_reason
Kamsi,SEO,ledsone.co.uk,4417260388448,gid://shopify/Product/4417260388448,Default Title,,,ACTIVE,1,MISSING_FROM_DB,MISSING_FROM_DB,5IP20100,2,158110711904|158110941280,constant-voltage-transformer|dc-5v-transformer,Constant Voltage Transformer|DC 5V Transformer,https://ledsone.co.uk/collections/constant-voltage-transformer|https://ledsone.co.uk/collections/dc-5v-transformer,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:29,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,4417260421216,gid://shopify/Product/4417260421216,Default Title,,,ACTIVE,1,MISSING_FROM_DB,MISSING_FROM_DB,12BO18,2,158110711904|158111006816,constant-voltage-transformer|dc-12v-transformer,Constant Voltage Transformer|DC 12V Transformer,https://ledsone.co.uk/collections/constant-voltage-transformer|https://ledsone.co.uk/collections/dc-12v-transformer,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:29,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,4417260486752,gid://shopify/Product/4417260486752,Default Title,,,ACTIVE,1,MISSING_FROM_DB,MISSING_FROM_DB,12BO28,2,158110711904|158111006816,constant-voltage-transformer|dc-12v-transformer,Constant Voltage Transformer|DC 12V Transformer,https://ledsone.co.uk/collections/constant-voltage-transformer|https://ledsone.co.uk/collections/dc-12v-transformer,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:29,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,4417260519520,gid://shopify/Product/4417260519520,Default Title,,,ACTIVE,1,MISSING_FROM_DB,MISSING_FROM_DB,5IP20150,2,158110711904|158110941280,constant-voltage-transformer|dc-5v-transformer,Constant Voltage Transformer|DC 5V Transformer,https://ledsone.co.uk/collections/constant-voltage-transformer|https://ledsone.co.uk/collections/dc-5v-transformer,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:29,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,4417260748896,gid://shopify/Product/4417260748896,Default Title,,,ACTIVE,1,MISSING_FROM_DB,MISSING_FROM_DB,5IP20200,2,158110711904|158110941280,constant-voltage-transformer|dc-5v-transformer,Constant Voltage Transformer|DC 5V Transformer,https://ledsone.co.uk/collections/constant-voltage-transformer|https://ledsone.co.uk/collections/dc-5v-transformer,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:29,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,4417260814432,gid://shopify/Product/4417260814432,Default Title,,,ACTIVE,1,MISSING_FROM_DB,MISSING_FROM_DB,5IP20300,2,158110711904|158110941280,constant-voltage-transformer|dc-5v-transformer,Constant Voltage Transformer|DC 5V Transformer,https://ledsone.co.uk/collections/constant-voltage-transformer|https://ledsone.co.uk/collections/dc-5v-transformer,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:29,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,4417260847200,gid://shopify/Product/4417260847200,Default Title,,,ACTIVE,1,MISSING_FROM_DB,MISSING_FROM_DB,12BO48,2,158110711904|158111006816,constant-voltage-transformer|dc-12v-transformer,Constant Voltage Transformer|DC 12V Transformer,https://ledsone.co.uk/collections/constant-voltage-transformer|https://ledsone.co.uk/collections/dc-12v-transformer,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:29,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,4417260912736,gid://shopify/Product/4417260912736,Default Title,,,ACTIVE,1,MISSING_FROM_DB,MISSING_FROM_DB,12BO72,2,158110711904|158111006816,constant-voltage-transformer|dc-12v-transformer,Constant Voltage Transformer|DC 12V Transformer,https://ledsone.co.uk/collections/constant-voltage-transformer|https://ledsone.co.uk/collections/dc-12v-transformer,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:29,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,4417260978272,gid://shopify/Product/4417260978272,Default Title,,,ACTIVE,1,MISSING_FROM_DB,MISSING_FROM_DB,12BO100,1,158110711904,constant-voltage-transformer,Constant Voltage Transformer,https://ledsone.co.uk/collections/constant-voltage-transformer,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:29,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,4417261305952,gid://shopify/Product/4417261305952,Default Title,,,ACTIVE,1,MISSING_FROM_DB,MISSING_FROM_DB,12SAN7,2,158110711904|158111006816,constant-voltage-transformer|dc-12v-transformer,Constant Voltage Transformer|DC 12V Transformer,https://ledsone.co.uk/collections/constant-voltage-transformer|https://ledsone.co.uk/collections/dc-12v-transformer,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:29,2026-07-14T09:12:19.913Z,true,
