staff_name,store,shopify_product_id,product_title,product_handle
Dilaksi,ledsone.co.uk,8006273859834,E27 Wooden Rope Wall Lamp Indoor Lighting ~4568,industrial-wooden-hemp-rope-e27-wall-mounted-sconce-4568
Dilaksi,ledsone.co.uk,14881058324866,Rotatable Metal Wall Spotlight GU10 Conduit Light Fixture ~ 5642,rotatable-metal-wall-spotlight-gu10-conduit-light-fixture-5642
Dilaksi,ledsone.co.uk,14872946311554,Industrial Swan Neck Wall Light Curved Arm Cone Fitting ~5575,vintage-metal-shade-swan-neck-wall-sconce-wall-light
Dilaksi,ledsone.co.uk,7961561334010,Vintage Metal Retro Modern Plug In Wall Sconce Light Fitting ~ 5368,vintage-retro-modern-plug-in-wall-light
Dilaksi,ledsone.co.uk,6741957804193,Industrial Umbrella Wall Sconce Brushed Copper Scalloped Art Deco Fitting~1499,umbrella-wall-sconce
Dilaksi,ledsone.co.uk,8010522525946,Adjustable E27 Wall Light Black Wall Sconce Lamp ~4737,e27-bulb-holder-socket-for-wall-sconce-lamp-light-hanging-mounted-180-degree-adjustable-4737
Dilaksi,ledsone.co.uk,4436070793312,Steampunk Pipe Lights Wall Lamp Indoor Lighting ~2813,rustic-red-steel-pipe-wall-vintage-industrial-retro-style-lamp-light
Dilaksi,ledsone.co.uk,15260815720834,Exposed Nautical Conduit Wall Light E27 Metal ~6548,exposed-conduit-wall-light
Dilaksi,ledsone.co.uk,14879664472450,Cylinder Adjustable Ceiling Spotlight for Conduit Lighting~5633,wall-and-ceiling-adjustable-e14-spotlight-with-ceiling-plate-for-conduit-lighting
Dilaksi,ledsone.co.uk,8010477207802,Vintage Industrial Black E27 Adjustable Indoor Wall Light ~4717,black-cone-shade-wall-lighting-adjustable-arm-4717
Dilaksi,ledsone.co.uk,6765700219041,Retro Wall Light Holder Swan Neck Wall Scone ~1439,swan-neck-wall-light-outdoor
Dilaksi,ledsone.co.uk,4612919066720,Industrial Adjustable Wall Sconce E27 Vintage Metal~2249,vintage-industrial-style-indoor-single-wall-lights-scone-down-lights-porch-lamps
